Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Italy,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,48.912,48.584,48.778,49.153,49.202,49.2,49.113,49.212,2018
Jamaica,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,28.597,29.437,29.271,28.622,28.299,27.949,27.241,27.61,2019
Japan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,37.417,37.07,36.966,36.813,36.612,36.406,36.381,36.535,2017
Jordan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,29.353,30.897,30.333,30.172,29.752,28.529,28.426,28.342,2018
Kazakhstan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,24.667,19.544,20.63,21.079,21.143,21.137,21.117,21.156,2018
Kenya,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,26.133,25.47,25.312,24.766,24.293,24.261,24.285,23.76,2018
Kiribati,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,110.748,154.145,141.266,119.845,99.85,92.91,91.214,88.715,2017
Korea,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,19.638,20.433,22.131,23.384,23.962,24.105,24.158,24.18,2017
Kosovo,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,27.578,28.979,30.072,29.513,28.407,27.996,27.397,27.063,2018
Kuwait,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,51.88,49.384,53.516,54.658,55.752,55.813,55.187,54.3,2017
Kyrgyz Republic,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,38.31,34.112,36.048,35.465,35.613,35.518,35.341,34.963,2018
Lao P.D.R.,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,21.555,19.91,20.052,19.986,19.911,19.911,20.018,20.104,2017
Latvia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,36.423,37.59,36.523,36.172,35.425,34.738,34.009,33.964,2018
Lebanon,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,30.362,31.482,31.233,34.403,34.898,34.695,35.96,36.422,2017
Lesotho,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,46.306,46.539,46.044,45.458,44.773,44.329,44.257,43.187,2018
Liberia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,33.364,32.428,34.226,35.093,34.818,33.784,34.516,31.998,2018
Libya,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,94.788,86.852,114.55,110.991,109.998,111.741,107.039,101.115,2018
Lithuania,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.304,33.237,34.52,34.675,34.904,34.966,35.028,34.964,2018
Luxembourg,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,42.974,43.109,43.641,43.825,43.875,43.83,43.843,43.867,2018
